제목,개봉일,관객수,누적관객수
승부,2025.03.26,33259,1840868
아마추어,2025.04.09,5890,80275
극장판 진격의 거인 완결편 더 라스트 어택,2025.03.13,5315,714827
로비,2025.04.02,5016,248112
드라이브 인 타이페이,2025.04.11,1310,14145
베러맨,2025.04.09,1221,23975
콘클라베,2025.03.05,1044,267971
하보우만의 약속,2025.04.16,1017,2422
라스트 마일,2025.03.26,813,49142
본회퍼: 목사.스파이.암살자,2025.04.09,804,5342
기동전사 건담 지쿠악스 비기닝,2025.04.02,748,30637
미키 17,2025.02.28,734,3010614
헤레틱,2025.04.02,644,35671
백설공주와 일곱난쟁이,2025.04.10,418,15420
A MINECRAFT MOVIE 마인크래프트 무비,2025.04.30,268,268
파란,2025.04.09,225,4483
출동! 왕엉덩이 히어로: 털복숭이 꼬리도적단 소탕작전,2025.04.12,223,8134
부전시장,2025.03.27,207,4040
"초혼, 다시 부르는 노래",2025.03.19,205,20718
고독한 미식가 더 무비,2025.03.19,134,92278
